n║;meta Selic;variaчуo (bps)
а206к;11,25;-100
а205к;12,25;-75
а204к;13;-75
а203к;13,75;-25
а202к;14;-25
а201к;14,25;0
а200к;14,25;0
а199к;14,25;0
а198к;14,25;0
а197к;14,25;0
а196к;14,25;0
а195к;14,25;0
а194к;14,25;0
а193к;14,25;0
а192к;14,25;50
а191к;13,75;50
а190к;13,25;50
а189к;12,75;50
а188к;12,25;50
а187к;11,75;50
а186к;11,25;25
а185к;11;0
а184к;11;0
а183к;11;0
а182к;11;25
а181к;10,75;25
а180к;10,5;50
а179к;10;50
а178к;9,5;50
а177к;9;50
а176к;8,5;50
а175к;8;50
а174к;7,5;25
а173к;7,25;0
а172к;7,25;0
а171к;7,25;0
а170к;7,25;-25
а169к;7,5;-50
а168к;8;-50
а167к;8,5;-50
а166к;9;-75
а165к;9,75;-75
а164к;10,5;-50
а163к;11;-50
а162к;11,5;-50
а161к;12;-50
а160к;12,5;25
а159к;12,25;25
а158к;12;25
а157к;11,75;50
а156к;11,25;50
а155к;10,75;0
а154к;10,75;0
а153к;10,75;0
а152к;10,75;50
а151к;10,25;75
а150к;9,5;75
а149к;8,75;0
а148к;8,75;0
а147к;8,75;0
а146к;8,75;0
а145к;8,75;0
а144к;8,75;-50
а143к;9,25;-100
а142к;10,25;-100
а141к;11,25;-150
а140к;12,75;-100
а139к;13,75;0
а138к;13,75;0
а137к;13,75;75
а136к;13;75
а135к;12,25;50
а134к;11,75;50
а133к;11,25;0
а132к;11,25;0
а131к;11,25;0
а130к;11,25;0
а129к;11,25;-25
а128к;11,5;-50
а127к;12;-50
а126к;12,5;-25
а125к;12,75;-25
а124к;13;-25
а123к;13,25;-50
а122к;13,75;-50
а121к;14,25;-50
а120к;14,75;-50
а119к;15,25;-50
а118к;15,75;-75
а117к;16,5;-75
а116к;17,25;-75
а115к;18;-50
а114к;18,5;-50
а113к;19;-50
а112к;19,5;-25
а111к;19,75;0
а110к;19,75;0
а109к;19,75;0
а108к;19,75;25
а107к;19,5;25
а106к;19,25;50
а105к;18,75;50
а104к;18,25;50
